mes, fabio, chacal, roner, menor, demon, meitcher, pincel 
11,1701,1274,744,616,97,122,461
12,3293,3589,2793,835,343,444,652
1,2427,2119,1610,795,175,229,288
2,2643,2314,1369,714,280,244,235
3,3178,2435,1118,367,326,1031,99
total,10064,9296,6516,2960,895,1039,1636
horas, fabio, chacal, roner, menor, demon, meitcher, pincel 
0,887,826,501,233,43,200,195
1,1252,1171,683,221,94,335,200
2,980,755,290,141,53,185,108
3,635,484,46,33,35,3,58
4,313,134,15,13,67,2,9
5,95,111,10,12,20,0,7
6,158,55,4,23,73,19,7
7,45,93,2,67,28,1,8
8,49,161,4,82,35,5,0
9,25,81,17,45,0,5,3
10,43,71,18,25,0,3,5
11,59,121,119,17,28,80,3
12,308,410,290,57,5,88,6
13,211,567,367,103,51,163,120
14,604,702,506,131,56,120,92
15,792,812,817,211,77,79,104
16,1159,875,872,322,72,75,55
17,886,655,633,264,81,131,79
18,842,656,392,241,36,32,142
19,674,568,362,223,33,57,73
20,730,488,389,225,58,114,61
21,888,631,353,263,80,72,83
22,667,457,350,135,52,81,122
23,940,847,594,240,144,220,195
